season,name,partner,industry,homestate,homecountry,age,result,placement,rule_type,elimination_week,total_weeks
20,Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,Eliminated Week 3,11,PERCENTAGE,3,3
20,Redfoo,Emma Slater,Singer/Rapper,California,United States,39,Eliminated Week 2,12,PERCENTAGE,2,2
21,Bindi Irwin,Derek Hough,TV Personality,,Australia,17,1st Place,1,PERCENTAGE,,11
21,Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,2nd Place,2,PERCENTAGE,,11
21,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,PERCENTAGE,,11
21,Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,Eliminated Week 11,4,PERCENTAGE,11,11
21,Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,Withdrew,5,PERCENTAGE,,9
21,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,PERCENTAGE,9,9
21,Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,Eliminated Week 8,7,PERCENTAGE,8,8
21,Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,Eliminated Week 7,8,PERCENTAGE,7,7
21,Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,Eliminated Week 6,9,PERCENTAGE,6,6
21,Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,Eliminated Week 4,10,PERCENTAGE,4,4
21,Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,Withdrew,11,PERCENTAGE,,2
21,Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,Eliminated Week 2,12,PERCENTAGE,2,2
21,Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,Eliminated Week 2,13,PERCENTAGE,2,2
22,Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,1st Place,1,PERCENTAGE,,10
22,Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,2nd Place,2,PERCENTAGE,,10
22,Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,3rd Place,3,PERCENTAGE,,10
22,Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,Eliminated Week 9,4,PERCENTAGE,9,9
22,Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,Eliminated Week 9,5,PERCENTAGE,9,9
22,Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,Eliminated Week 8,6,PERCENTAGE,8,8
22,Von Miller,Witney Carson,Athlete,Texas,United States,27,Eliminated Week 7,7,PERCENTAGE,7,7
22,Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,Eliminated Week 7,8,PERCENTAGE,7,7
22,Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,Eliminated Week 6,9,PERCENTAGE,6,6
22,Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,Eliminated Week 4,10,PERCENTAGE,4,4
22,Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,Eliminated Week 3,11,PERCENTAGE,3,3
22,Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,Eliminated Week 2,12,PERCENTAGE,2,2
23,Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,1st Place,1,PERCENTAGE,,11
23,James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,2nd Place,2,PERCENTAGE,,11
23,Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,3rd Place,3,PERCENTAGE,,11
23,Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,Eliminated Week 11,4,PERCENTAGE,11,11
23,Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,Eliminated Week 10,5,PERCENTAGE,10,10
23,Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,Eliminated Week 9,6,PERCENTAGE,9,9
23,Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,Eliminated Week 8,7,PERCENTAGE,8,8
23,Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,Eliminated Week 7,8,PERCENTAGE,7,7
23,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,PERCENTAGE,6,6
23,Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,Eliminated Week 4,10,PERCENTAGE,4,4
23,Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,Eliminated Week 4,11,PERCENTAGE,4,4
23,Rick Perry,Emma Slater,Politician,Texas,United States,66,Eliminated Week 3,12,PERCENTAGE,3,3
23,Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,Eliminated Week 2,13,PERCENTAGE,2,2
24,Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,1st Place,1,PERCENTAGE,,10
24,David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,2nd Place,2,PERCENTAGE,,10
24,Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,3rd Place,3,PERCENTAGE,,10
24,Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,Eliminated Week 9,4,PERCENTAGE,9,9
24,Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,Eliminated Week 8,5,PERCENTAGE,8,8
24,Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,Eliminated Week 7,6,PERCENTAGE,7,7
24,Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,Eliminated Week 7,7,PERCENTAGE,7,7
24,Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,Eliminated Week 6,8,PERCENTAGE,6,6
24,Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,Eliminated Week 5,9,PERCENTAGE,5,5
24,Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,Eliminated Week 4,10,PERCENTAGE,4,4
24,Charo,Keo Motsepe,Actor/Actress,,Spain,66,Eliminated Week 3,11,PERCENTAGE,3,3
24,Chris Kattan,Witney Carson,Comedian,California,United States,46,Eliminated Week 2,12,PERCENTAGE,2,2
25,Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,1st Place,1,PERCENTAGE,,10
25,Lindsey Stirling,Mark Ballas,Musician,California,United States,31,2nd Place,2,PERCENTAGE,,10
25,Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,3rd Place,3,PERCENTAGE,,10
25,Drew Scott,Emma Slater,TV Personality,,Canada,39,Eliminated Week 10,4,PERCENTAGE,10,10
25,Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,Eliminated Week 9,5,PERCENTAGE,9,9
25,Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,Eliminated Week 8,6,PERCENTAGE,8,8
25,Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,Eliminated Week 7,7,PERCENTAGE,7,7
25,Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,Eliminated Week 7,8,PERCENTAGE,7,7
25,Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,Eliminated Week 6,9,PERCENTAGE,6,6
25,Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,Eliminated Week 5,10,PERCENTAGE,5,5
25,Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,Eliminated Week 4,11,PERCENTAGE,4,4
25,Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,Eliminated Week 2,12,PERCENTAGE,2,2
25,Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,Eliminated Week 2,13,PERCENTAGE,2,2
26,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,PERCENTAGE,,4
26,Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,2nd Place,2,PERCENTAGE,,4
26,Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,3rd Place,3,PERCENTAGE,,4
26,Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,Eliminated Week 3,4,PERCENTAGE,3,3
26,Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,Eliminated Week 3,5,PERCENTAGE,3,3
26,Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,Eliminated Week 3,6,PERCENTAGE,3,3
26,Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,Eliminated Week 2,7,PERCENTAGE,2,2
26,Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,Eliminated Week 2,8,PERCENTAGE,2,2
26,Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,Eliminated Week 1,9,PERCENTAGE,1,1
26,Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,Eliminated Week 1,10,PERCENTAGE,1,1
27,Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,PERCENTAGE,,9
27,Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,2nd Place,2,PERCENTAGE,,9
27,Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,3rd Place,3,PERCENTAGE,,9
27,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,PERCENTAGE,,9
27,Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,Eliminated Week 8,5,PERCENTAGE,8,8
27,Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,Eliminated Week 8,6,PERCENTAGE,8,8
27,DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,Eliminated Week 7,7,PERCENTAGE,7,7
27,John Schneider,Emma Slater,Actor/Actress,New York,United States,58,Eliminated Week 7,8,PERCENTAGE,7,7
27,Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,Eliminated Week 6,9,PERCENTAGE,6,6
27,Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,Eliminated Week 4,10,PERCENTAGE,4,4
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,Eliminated Week 3,11,PERCENTAGE,3,3
27,Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,Eliminated Week 2,12,PERCENTAGE,2,2
27,Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,Eliminated Week 1,13,PERCENTAGE,1,1
28,Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,1st Place,1,RANK_WITH_SAVE,,11
28,Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,2nd Place,2,RANK_WITH_SAVE,,11
28,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,RANK_WITH_SAVE,,11
28,Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,4th Place,4,RANK_WITH_SAVE,,11
28,James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,Eliminated Week 10,5,RANK_WITH_SAVE,10,10
28,Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,Eliminated Week 9,6,RANK_WITH_SAVE,9,9
28,Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,Eliminated Week 8,7,RANK_WITH_SAVE,8,8
28,Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,Eliminated Week 7,8,RANK_WITH_SAVE,7,7
28,Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,Eliminated Week 6,9,RANK_WITH_SAVE,6,6
28,Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,Eliminated Week 4,10,RANK_WITH_SAVE,4,4
28,Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,Withdrew,11,RANK_WITH_SAVE,,2
28,Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,Eliminated Week 2,12,RANK_WITH_SAVE,2,2
29,Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,1st Place,1,RANK_WITH_SAVE,,11
29,Nev Schulman,Jenna Johnson,Producer,New York,United States,35,2nd Place,2,RANK_WITH_SAVE,,11
29,Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,3rd Place,3,RANK_WITH_SAVE,,11
29,Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,4th Place,4,RANK_WITH_SAVE,,11
29,Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,Eliminated Week 10,5,RANK_WITH_SAVE,10,10
29,Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,Eliminated Week 10,6,RANK_WITH_SAVE,10,10
29,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,RANK_WITH_SAVE,9,9
29,Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,Eliminated Week 8,8,RANK_WITH_SAVE,8,8
29,Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,Withdrew,9,RANK_WITH_SAVE,,7
29,Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,Eliminated Week 7,10,RANK_WITH_SAVE,7,7
29,Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,Eliminated Week 6,11,RANK_WITH_SAVE,6,6
29,Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,Eliminated Week 5,12,RANK_WITH_SAVE,5,5
29,Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,Eliminated Week 4,13,RANK_WITH_SAVE,4,4
29,Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,Eliminated Week 3,14,RANK_WITH_SAVE,3,3
29,Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,Eliminated Week 2,15,RANK_WITH_SAVE,2,2
30,Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,1st Place,1,RANK_WITH_SAVE,,10
30,JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,2nd Place,2,RANK_WITH_SAVE,,10
30,Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,3rd Place,3,RANK_WITH_SAVE,,10
30,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,RANK_WITH_SAVE,,10
30,Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,Eliminated Week 9,5,RANK_WITH_SAVE,9,9
30,Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,Eliminated Week 9,6,RANK_WITH_SAVE,9,9
30,Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,Eliminated Week 8,7,RANK_WITH_SAVE,8,8
30,Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,Eliminated Week 8,8,RANK_WITH_SAVE,8,8
30,"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,Eliminated Week 7,9,RANK_WITH_SAVE,7,7
30,Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,Eliminated Week 6,10,RANK_WITH_SAVE,6,6
30,Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,Eliminated Week 5,11,RANK_WITH_SAVE,5,5
30,Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,Eliminated Week 4,12,RANK_WITH_SAVE,4,4
30,Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,Eliminated Week 4,13,RANK_WITH_SAVE,4,4
30,Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,Eliminated Week 3,14,RANK_WITH_SAVE,3,3
30,Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,Eliminated Week 2,15,RANK_WITH_SAVE,2,2
31,Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,1st Place,1,RANK_WITH_SAVE,,10
31,Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,2nd Place,2,RANK_WITH_SAVE,,10
31,Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,3rd Place,3,RANK_WITH_SAVE,,10
31,Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,4th Place,4,RANK_WITH_SAVE,,10
31,Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,Eliminated Week 9,5,RANK_WITH_SAVE,9,9
31,Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,Eliminated Week 9,6,RANK_WITH_SAVE,9,9
31,Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,Eliminated Week 8,7,RANK_WITH_SAVE,8,8
31,Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,Eliminated Week 8,8,RANK_WITH_SAVE,8,8
31,Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,Eliminated Week 7,9,RANK_WITH_SAVE,7,7
31,Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,Eliminated Week 6,10,RANK_WITH_SAVE,6,6
31,Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,Eliminated Week 5,11,RANK_WITH_SAVE,5,5
31,Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,Withdrew,12,RANK_WITH_SAVE,,5
31,Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,Eliminated Week 4,13,RANK_WITH_SAVE,4,4
31,Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,Eliminated Week 3,14,RANK_WITH_SAVE,3,3
31,Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,Eliminated Week 2,15,RANK_WITH_SAVE,2,2
31,Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,Eliminated Week 1,16,RANK_WITH_SAVE,1,1
32,Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,1st Place,1,RANK_WITH_SAVE,,11
32,Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,2nd Place,2,RANK_WITH_SAVE,,11
32,Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,3rd Place,3,RANK_WITH_SAVE,,11
32,Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,4th Place,4,RANK_WITH_SAVE,,11
32,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,RANK_WITH_SAVE,,11
32,Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,Eliminated Week 9,6,RANK_WITH_SAVE,9,9
32,Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,Eliminated Week 8,7,RANK_WITH_SAVE,8,8
32,Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,Eliminated Week 7,8,RANK_WITH_SAVE,7,7
32,Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,Eliminated Week 6,9,RANK_WITH_SAVE,6,6
32,Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,Eliminated Week 5,10,RANK_WITH_SAVE,5,5
32,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,RANK_WITH_SAVE,4,4
32,Tyson Beckford,Jenna Johnson,Model,New York,United States,52,Eliminated Week 3,12,RANK_WITH_SAVE,3,3
32,Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,Eliminated Week 2,13,RANK_WITH_SAVE,2,2
32,Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,Eliminated Week 1,14,RANK_WITH_SAVE,1,1
33,Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,1st Place,1,RANK_WITH_SAVE,,9
33,Ilona Maher,Alan Bersten,Athlete,California,United States,28,2nd Place,2,RANK_WITH_SAVE,,9
33,Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,3rd Place,3,RANK_WITH_SAVE,,9
33,Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,4th Place,4,RANK_WITH_SAVE,,9
33,Danny Amendola,Witney Carson,Athlete,Texas,United States,39,5th Place,5,RANK_WITH_SAVE,,9
33,Dwight Howard,Daniella Karagach,Athlete,Georgia,United States,38,Eliminated Week 7,6,RANK_WITH_SAVE,7,7
33,Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,Eliminated Week 6,7,RANK_WITH_SAVE,6,6
33,Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,Eliminated Week 5,8,RANK_WITH_SAVE,5,5
33,Brooks Nader,Gleb Savchenko,Model,New York,United States,27,Eliminated Week 4,9,RANK_WITH_SAVE,4,4
33,Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,Eliminated Week 3,10,RANK_WITH_SAVE,3,3
33,Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,Eliminated Week 3,10,RANK_WITH_SAVE,3,3
33,Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,Eliminated Week 2,12,RANK_WITH_SAVE,2,2
33,Anna Delvey,Ezra Sosa,Con artist,,Russia,33,Eliminated Week 2,12,RANK_WITH_SAVE,2,2
34,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,1st Place,1,RANK_WITH_SAVE,,11
34,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,RANK_WITH_SAVE,,11
34,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,3rd Place,3,RANK_WITH_SAVE,,11
34,Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,4th Place,4,RANK_WITH_SAVE,,11
34,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,5th Place,5,RANK_WITH_SAVE,,11
34,Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,Eliminated Week 10,6,RANK_WITH_SAVE,10,10
34,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,Eliminated Week 9,7,RANK_WITH_SAVE,9,9
34,Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,Eliminated Week 8,8,RANK_WITH_SAVE,8,8
34,Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,Eliminated Week 7,9,RANK_WITH_SAVE,7,7
34,Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,Eliminated Week 6,10,RANK_WITH_SAVE,6,6
34,Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,Eliminated Week 4,11,RANK_WITH_SAVE,4,4
34,Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,Eliminated Week 3,12,RANK_WITH_SAVE,3,3
34,Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,Eliminated Week 2,13,RANK_WITH_SAVE,2,2
34,Baron Davis,Britt Stewart,Athlete,California,United States,46,Eliminated Week 2,13,RANK_WITH_SAVE,2,2
